date,open,high,low,close,volume,unadjustedVolume,change,changePercent,label,changeOverTime
"2014-01-23,29.5201,30.3003,29.4912,30.1943,11397447,11397447,0.144472,0.481,""Jan 23, 14"",0.6353685419182918"
"2014-01-24,29.8765,30.0306,28.8074,29.2794,13699981,13699981,-0.914979,-3.03,""Jan 24, 14"",0.5858161867055184"
"2014-01-27,29.2794,29.732,27.6131,29.0675,16288488,16288488,-0.211891,-0.724,""Jan 27, 14"",0.5743393651189115"
"2014-01-28,29.2023,31.013,28.9134,30.7819,23966003,23966003,1.7144,5.898,""Jan 28, 14"",0.6671938385879014"
"2014-01-29,31.0515,32.1688,30.9167,31.7643,22726800,22726800,0.9824,3.191,""Jan 29, 14"",0.7204020949667719"
"2014-01-30,32.1302,32.9393,31.9761,32.554,13677012,13677012,0.789773,2.486,""Jan 30, 14"",0.7631734305351698"
"2014-01-31,32.2073,32.8237,31.7835,32.3132,12795698,12795698,-0.240785,-0.74,""Jan 31, 14"",0.7501313416344858"
"2014-02-03,32.6985,33.209,31.8317,32.7081,21743871,21743871,0.394886,1.222,""Feb 3, 14"",0.7715197174936226"
"2014-02-04,32.7852,33.1126,32.3421,32.7948,11241908,11241908,0.086682,0.265,""Feb 4, 14"",0.7762155194358539"
"2014-02-05,32.5733,32.7178,32.1688,32.554,15471546,15471546,-0.240783,-0.734,""Feb 5, 14"",0.7631734305351698"
"2014-02-06,32.4673,33.6327,32.4577,33.3823,13924507,13924507,0.828297,2.544,""Feb 6, 14"",0.8080353999555876"
"2014-02-07,33.5268,34.384,33.3727,34.3551,15411777,15411777,0.972769,2.914,""Feb 7, 14"",0.8607237059463909"
"2014-02-10,34.7692,34.8174,34.0758,34.2684,11110235,11110235,-0.086683,-0.252,""Feb 10, 14"",0.8560279040041595"
"2014-02-11,34.2684,34.3262,33.1223,33.835,11990875,11990875,-0.433413,-1.265,""Feb 11, 14"",0.8325543104428786"
"2014-02-12,33.6038,33.7098,33.0934,33.4112,9386780,9386780,-0.42378,-1.252,""Feb 12, 14"",0.8096006672696647"
"2014-02-13,32.8141,33.7483,32.8044,33.7339,8412272,8412272,0.322653,0.966,""Feb 13, 14"",0.8270785829185464"
"2014-02-14,33.5653,33.8793,32.9585,33.1415,7307286,7307286,-0.592329,-1.756,""Feb 14, 14"",0.7949933110549036"
"2014-02-18,33.4497,33.6616,32.9393,33.0452,7090152,7090152,-0.096314,-0.291,""Feb 18, 14"",0.7897775587246051"
"2014-02-19,32.9874,33.7965,32.8526,33.3149,7259501,7259501,0.269678,0.816,""Feb 19, 14"",0.8043849149393663"
"2014-02-20,33.1608,34.3545,33.1608,34.3455,9289448,9289448,1.0306,3.093,""Feb 20, 14"",0.8602037555583238"
"2014-02-21,34.461,35.1063,34.4321,34.8367,7821334,7821334,0.491201,1.43,""Feb 21, 14"",0.8868078837477591"
"2014-02-24,34.8656,35.3086,34.6922,35.299,7022370,7022370,0.462305,1.327,""Feb 24, 14"",0.9118467446231171"
"2014-02-25,35.2797,35.7805,35.1641,35.6361,8991389,8991389,0.337098,0.955,""Feb 25, 14"",0.9301045858540997"
"2014-02-26,35.7516,35.9057,35.2315,35.3953,10516864,10516864,-0.240781,-0.676,""Feb 26, 14"",0.9170624969534156"
"2014-02-27,35.5205,35.5865,35.0004,35.2123,5666647,5666647,-0.182998,-0.517,""Feb 27, 14"",0.9071509426808858"
"2014-02-28,34.7789,35.6168,34.7403,35.5686,7991349,7991349,0.356361,1.012,""Feb 28, 14"",0.9264486846880029"
"2014-03-03,34.8367,35.0582,34.018,34.7692,9495177,9495177,-0.799405,-2.247,""Mar 3, 14"",0.8831519825816618"
"2014-03-04,35.2219,36.0791,35.2219,35.9635,11742444,11742444,1.1943,3.435,""Mar 4, 14"",0.9478370605471396"
"2014-03-05,36.2139,36.6281,36.1273,36.4644,8793959,8793959,0.500831,1.393,""Mar 5, 14"",0.9749665552745174"
"2014-03-06,36.8689,37.8754,36.8689,37.3793,14008414,14008414,0.914981,2.509,""Mar 6, 14"",1.024518910487291"
"2014-03-07,37.7261,37.8416,36.7051,37.5816,10540431,10540431,0.202256,0.541,""Mar 7, 14"",1.0354757816858309"
"2014-03-10,37.2734,38.4099,37.1289,37.5238,11415390,11415390,-0.057786,-0.154,""Mar 10, 14"",1.0323452470576766"
"2014-03-11,37.2252,37.8128,36.551,36.6762,11311219,11311219,-0.847561,-2.259,""Mar 11, 14"",0.9864379607112489"
"2014-03-12,36.5703,36.6762,35.8576,36.1753,9416584,9416584,-0.500926,-1.366,""Mar 12, 14"",0.9593084659838707"
"2014-03-13,36.5029,36.5895,34.4321,35.3856,11743627,11743627,-0.789679,-2.183,""Mar 13, 14"",0.9165371304154727"
"2014-03-14,34.6729,35.8093,34.3551,35.0004,7199813,7199813,-0.385251,-1.089,""Mar 14, 14"",0.8956741210942788"
"2014-03-17,35.2701,36.3777,35.1834,36.3103,9240047,9240047,1.3099,3.742,""Mar 17, 14"",0.9666202683160647"
"2014-03-18,36.3584,36.6377,35.7227,35.9732,5716947,5716947,-0.337097,-0.928,""Mar 18, 14"",0.9483624270850822"
"2014-03-19,35.8961,36.2428,35.3279,35.7131,3863064,3863064,-0.260048,-0.723,""Mar 19, 14"",0.9342750212583881"
"2014-03-20,35.2604,35.7227,34.9426,35.2123,6952115,6952115,-0.50083,-1.402,""Mar 20, 14"",0.9071509426808858"
"2014-03-21,35.4049,35.4627,34.5862,34.7789,14113193,14113193,-0.433412,-1.231,""Mar 21, 14"",0.8836773491196048"
"2014-03-24,34.9137,35.5012,34.7018,35.4434,6514506,6514506,0.664564,1.911,""Mar 24, 14"",0.9196676650436268"
"2014-03-25,35.5205,36.7889,35.5012,36.5029,10419256,10419256,1.0595,2.989,""Mar 25, 14"",0.9770517729766616"
"2014-03-26,36.7437,36.8496,35.2893,35.3471,7322443,7322443,-1.1558,-3.166,""Mar 26, 14"",0.9144519127133285"
"2014-03-27,35.2701,35.4145,33.7291,34.4514,9546097,9546097,-0.895719,-2.534,""Mar 27, 14"",0.8659394582766894"
"2014-03-28,34.4514,35.1545,34.0469,34.0854,6792745,6792745,-0.365993,-1.062,""Mar 28, 14"",0.8461163497316297"
"2014-03-31,34.5188,35.5109,34.4321,35.2508,8415583,8415583,1.1654,3.419,""Mar 31, 14"",0.90923616038303"
"2014-04-01,35.5879,36.7822,35.4916,36.5414,11065541,11065541,1.2906,3.661,""Apr 1, 14"",0.9791369906788062"
"2014-04-02,36.8304,37.466,36.0984,36.3199,12508405,12508405,-0.221523,-0.606,""Apr 2, 14"",0.9671402187041318"
